Outliers,No outliers
36.56666666666667,26.933333333333334
12.383333333333333,5.85
144.48333333333332,13.3
8.35,7.616666666666666
3.05,16.033333333333335
65.1,13.5
19.6,24.566666666666666
41.6,10.933333333333334
229.13333333333333,23.35
117.36666666666666,6.85
156.33333333333334,27.183333333333334
130.65,10.033333333333333
103.88333333333334,13.516666666666667
6.833333333333333,16.45
4.883333333333334,23.666666666666668
7.033333333333333,12.266666666666667
19.866666666666667,18.05
3.3833333333333333,17.533333333333335
1.5833333333333333,13.783333333333333
25.266666666666666,14.533333333333333
8.016666666666667,14.2
18.15,12.883333333333333
151.5,24.533333333333335
3.6166666666666667,12.433333333333334
48.483333333333334,11.1
183.31666666666666,10.683333333333334
20.85,9.466666666666667
317.26666666666665,17.033333333333335
181.78333333333333,44.8
4.25,22.6
3.2,31.916666666666668
271.25,9.433333333333334
0.6333333333333333,11.816666666666666
1.95,9.1
3.1,8.35
4.2,8.383333333333333
3.7333333333333334,8.683333333333334
3.5,8.65
1.3166666666666667,15.2
3.716666666666667,8.75
102.45,14.933333333333334
2.966666666666667,15.1
8.283333333333333,6.05
31.666666666666668,16.7
49.833333333333336,16.566666666666666
6.933333333333334,18.283333333333335
23.683333333333334,7.0
273.95,18.25
124.48333333333333,13.366666666666667
294.75,17.85
153.26666666666668,17.733333333333334
97.21666666666667,14.55
9.783333333333333,13.916666666666666
6.533333333333333,13.566666666666666
4.25,5.383333333333334
4.083333333333333,4.633333333333334
3.7333333333333334,4.783333333333333
2.1166666666666667,9.483333333333333
119.86666666666666,5.666666666666667
5.85,36.61666666666667
39.85,11.383333333333333
77.66666666666667,33.63333333333333
3.7666666666666666,18.4
37.36666666666667,9.366666666666667
33.55,4.083333333333333
545.4833333333333,26.6
18.3,19.916666666666668
3.466666666666667,11.366666666666667
290.5833333333333,5.733333333333333
9.583333333333334,13.183333333333334
2.7666666666666666,5.883333333333334
3.3,10.65
3.3833333333333333,6.05
6.566666666666666,24.566666666666666
108.08333333333333,12.283333333333333
169.21666666666667,27.816666666666666
496.15,29.6
9.666666666666666,14.85
25.15,22.966666666666665
93.03333333333333,20.95
73.55,24.083333333333332
113.48333333333333,4.916666666666667
2.6666666666666665,12.283333333333333
15.566666666666666,12.933333333333334
29.983333333333334,22.35
2.316666666666667,16.383333333333333
1.8166666666666667,9.533333333333333
2.15,14.933333333333334
369.5,2.6
6.8,19.55
5.6,14.45
3.1666666666666665,26.333333333333332
20.883333333333333,4.25
258.4,36.46666666666667
14.416666666666666,18.166666666666668
5.866666666666666,10.016666666666667
2.7333333333333334,3.9
16.1,7.516666666666667
28.65,30.1
118.43333333333334,33.516666666666666
3.1,19.316666666666666
10.95,8.783333333333333
3.8,22.3
120.03333333333333,11.966666666666667
3.15,24.366666666666667
3.8833333333333333,14.516666666666667
68.9,25.516666666666666
2.066666666666667,18.583333333333332
8.25,11.05
9.966666666666667,14.616666666666667
3.466666666666667,21.683333333333334
116.6,13.183333333333334
12.75,20.216666666666665
2.9833333333333334,9.133333333333333
173.7,5.616666666666666
5.05,16.783333333333335
4.8,11.783333333333333
28.566666666666666,16.4
122.45,24.883333333333333
151.06666666666666,9.25
62.11666666666667,24.083333333333332
14.283333333333333,16.933333333333334
2.9,18.316666666666666
240.71666666666667,9.816666666666666
189.51666666666668,9.033333333333333
5.6,19.716666666666665
2.0833333333333335,12.916666666666666
3.05,12.466666666666667
6.933333333333334,4.783333333333333
3.2666666666666666,28.383333333333333
105.38333333333334,4.816666666666666
3.9166666666666665,24.266666666666666
52.266666666666666,6.383333333333334
296.4,40.11666666666667
58.31666666666667,15.9
327.0833333333333,20.066666666666666
36.1,23.633333333333333
1.9666666666666666,22.866666666666667
4.516666666666667,5.25
159.16666666666666,35.766666666666666
3.933333333333333,23.083333333333332
8.033333333333333,27.166666666666668
4.416666666666667,16.633333333333333
18.6,4.716666666666667
10.083333333333334,25.05
2.066666666666667,6.8
3.216666666666667,9.216666666666667
4.35,5.283333333333333
2.15,28.983333333333334
2.1166666666666667,11.016666666666667
139.63333333333333,7.75
3.566666666666667,20.766666666666666
109.28333333333333,5.45
3.066666666666667,16.5
15.55,5.016666666666667
29.15,9.783333333333333
25.6,25.2
