name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
1АП(на_IП),34,607.0,64.2706,3СП(к),1АП(к),1605111118
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605113017
1АП(на_IП),41,607.0,53.2976,3СП(к),1АП(к),1605114067
1АП(на_IП),38,607.0,57.5053,3СП(к),1АП(к),1605114707
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605115631
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605116186
1АП(на_IП),38,607.0,57.5053,3СП(к),1АП(к),1605116534
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605118073
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605119161
1АП(на_IП),61,607.0,35.823,3СП(к),1АП(к),1605119912
1АП(на_IП),57,607.0,38.3368,3СП(к),1АП(к),1605120792
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605121147
1АП(на_IП),36,607.0,60.7,3СП(к),1АП(к),1605122548
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605124389
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605125990
1АП(на_IП),44,607.0,49.6636,3СП(к),1АП(к),1605126084
1АП(на_IП),55,607.0,39.7309,3СП(к),1АП(к),1605127944
ЧГП(на_IIП),11,298.0,97.5273,4СП(к),ЧГП(к),1605128435
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605130050
1АП(на_IП),46,607.0,47.5043,3СП(к),1АП(к),1605130455
1АП(на_IП),46,607.0,47.5043,3СП(к),1АП(к),1605131113
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605131712
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605132266
1АП(на_IП),36,607.0,60.7,3СП(к),1АП(к),1605132760
ЧДП(на_6П),291,298.0,3.6866,2СП(к),ЧДП(к),1605134173
1АП(на_3П),77,607.0,28.3792,3СП(к),1АП(к),1605135045
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605136151
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605137438
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605140098
