who, sect1_name, sect1_speed_kmh, sect1_busy_sec, sect2_name, sect2_speed_kmh, sect2_busy_sec
ЧД_останов_по_2П, ЧД1УП, 42.8571, 1602608442, ЧДП(к), 32.112, 1602608526
ЧД_пропуск_по_2П, ЧД1УП, 37.8947, 1602612446, ЧДП(к), 34.9043, 1602612541
ЧД_останов_по_2П, ЧД1УП, 48.6486, 1602659499, ЧДП(к), 40.14, 1602659573
ЧД_останов_по_2П, ЧД1УП, 31.3043, 1602660973, ЧДП(к), 40.14, 1602661088
ЧД_останов_по_2П, ЧД1УП, 36.7347, 1602667864, ЧДП(к), 44.6, 1602667962
ЧД_останов_по_2П, ЧД1УП, 28.8, 1602670743, ЧДП(к), 47.2235, 1602670868
ЧД_останов_по_2П, ЧД1УП, 26.4706, 1602675690, ЧДП(к), 21.1263, 1602675826
ЧД_останов_по_2П, ЧД1УП, 38.7097, 1602694757, ЧДП(к), 33.45, 1602694850
ЧД_пропуск_по_2П, ЧД1УП, 31.8584, 1602744078, ЧДП(к), 30.8769, 1602744191
ЧД_останов_по_2П, ЧД1УП, 43.9024, 1602745927, ЧДП(к), 32.112, 1602746009
ЧД_останов_по_2П, ЧД1УП, 40.0, 1602781221, ЧДП(к), 33.45, 1602781311
ЧД_пропуск_по_2П, ЧД1УП, 34.2857, 1602837067, ЧДП(к), 28.6714, 1602837172
ЧД_останов_по_2П, ЧД1УП, 38.7097, 1602867617, ЧДП(к), 25.8968, 1602867710
ЧД_пропуск_по_2П, ЧД1УП, 21.6867, 1602967973, ЧДП(к), 29.7333, 1602968139
ЧД_останов_по_2П, ЧД1УП, 24.4898, 1603017158, ЧДП(к), 25.0875, 1603017305
ЧД_пропуск_по_2П, ЧД1УП, 23.0769, 1603113514, ЧДП(к), 27.6828, 1603113670
ЧД_останов_по_2П, ЧД1УП, 48.0, 1603126792, ЧДП(к), 30.8769, 1603126867
ЧД_останов_по_2П, ЧД1УП, 40.4494, 1603177949, ЧДП(к), 34.9043, 1603178038
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1603213241, ЧДП(к), 30.8769, 1603213326
ЧД_останов_по_2П, ЧД1УП, 50.0, 1603281035, ЧДП(к), 50.175, 1603281107
